proyecto,fecha,titulo,estado,proponente,autores
Proyecto de Ley 11482/2024-CR,Fecha de Presentación05/06/2025,LEY QUE INTEGRA A LOS TRABAJADORES CAS DEL MINISTERIO DE EDUCACIÓN AL RÉGIMEN LABORAL N° 728,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bellido Ugarte, Guido, Calle Lobatón, Digna, Alcarraz Agüero, Yorel Kira ver más..."
Proyecto de Ley 11481/2024-CR,Fecha de Presentación05/06/2025,LEY QUE PROMUEVE LA SOSTENIBILIDAD DE LAS BENEFICENCIAS A TRAVÉS DE LA INVERSIÓN PRIVADA,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bellido Ugarte, Guido, Calle Lobatón, Digna, Alcarraz Agüero, Yorel Kira ver más..."
Proyecto de Ley 11480/2024-CR,Fecha de Presentación05/06/2025,LEY QUE DISPONE LA IGUALDAD REMUNERATIVA PARA LOS SERVIDORES CIVILES DEL RÉGIMEN DEL DECRETO LEGISLATIVO N° 728 EN LA UNIDAD EJECUTORA 001 DEL MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bellido Ugarte, Guido, Calle Lobatón, Digna, Alcarraz Agüero, Yorel Kira ver más..."
Proyecto de Ley 11479/2024-CR,Fecha de Presentación05/06/2025,LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO DE OCONGATE,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bellido Ugarte, Guido, Cortez Aguirre, Isabel, Alcarraz Agüero, Yorel Kira ver más..."
Proyecto de Ley 11478/2024-CR,Fecha de Presentación05/06/2025,LEY DE LA REVOLUCIÓN AGRARIA INTEGRAL Y PRODUCTIVA,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bellido Ugarte, Guido, Calle Lobatón, Digna, Cortez Aguirre, Isabel ver más..."
Proyecto de Ley 11477/2024-CR,Fecha de Presentación05/06/2025,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA EL FINANCIAMIENTO Y CONSTRUCCIÓN DE LA CARRETERA RUTA REGIONAL N° PU- 104,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bellido Ugarte, Guido, Calle Lobatón, Digna, Cortez Aguirre, Isabel ver más..."
Proyecto de Ley 11476/2024-CR,Fecha de Presentación05/06/2025,LEY DE RECATEGORIZACIÓN DE LA ZONA ARQUEOLÓGICA DE PATURPAMPA A ZONA DE DENSIDAD MEDIA URBANA,Estado ProcesalPRESENTADO,ProponenteCongreso,"Bellido Ugarte, Guido, Cortez Aguirre, Isabel, Paredes Castro, Francis Jhasmina ver más..."
Proyecto de Ley 11475/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE AUTORIZA EL INICIO DEL PROCESO DE NOMBRAMIENTO DEL PERSONAL DE SALUD CONTEMPLADO EN EL LITERAL N) DEL NUMERAL 8.1 DEL ARTÍCULO 8 DE LA LEY N° 32185, A PARTIR DE
OCTUBRE DEL AÑO FISCAL 2025",Estado ProcesalPRESENTADO,ProponenteCongreso,"Vergara Mendoza, Elvis Hernán, López Ureña, Ilich Fredy, Monteza Facho, Silvia María ver más..."
Proyecto de Ley 11474/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE ESTABLECE RESPONSABILIDADES POR DEFICIENCIAS, OMISIONES Y VICIOS OCULTOS EN LA ELABORACIÓN, REVISIÓN Y APROBACIÓN DEL EXPEDIENTE TÉCNICO EN PROYECTOS DE
INVERSIÓN PÚBLICA""",Estado ProcesalPRESENTADO,ProponenteCongreso,"Palacios Huamán, Margot, Cutipa Ccama, Víctor Raúl, Bermejo Rojas, Guillermo ver más..."
Proyecto de Ley 11473/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE DEROGA LA LEY 31914 Y ESTABLECE LA MODIFICATORIA INCISO C) DEL ARTÍCULO 7° Y EL ARTÍCULO 11° DE LA LEY 28976, LEY MARCO DE LICENCIA DE FUNCIONAMIENTO",Estado ProcesalPRESENTADO,ProponenteCongreso,"Palacios Huamán, Margot, Cutipa Ccama, Víctor Raúl, Coayla Juárez, Jorge Samuel ver más..."
Proyecto de Ley 11472/2024-CR,Fecha de Presentación05/06/2025,LEY QUE REIVINDICA AL PERSONAL DEL DECRETO LEGISLATIVO 728 DE LA SUPERINTENDENCIA NACIONAL DE FISCALIZACIÓN LABORAL,Estado ProcesalPRESENTADO,ProponenteCongreso,"Vergara Mendoza, Elvis Hernán, Mori Celis, Juan Carlos, Alva Rojas, Carlos Enrique ver más..."
Proyecto de Ley 11471/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE INCORPORA PROGRESIVAMENTE AL PERSONAL DE ESSALUD CONTRATADO EN EL RÉGIMEN CAS, EN VIRTUD DE LA LEY 31539, HACIA EL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO 728",Estado ProcesalPRESENTADO,ProponenteCongreso,"Valer Pinto, Héctor, Cordero Jon Tay, Luis Gustavo, Morante Figari, Jorge Alberto ver más..."
Proyecto de Ley 11470/2024-CR,Fecha de Presentación05/06/2025,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA IMPLEMENTACIÓN DE MEDIDAS DE SALVAGUARDIA Y PROMOCIÓN DE LA VESTIMENTA TÍPICA DE LA LOCALIDAD DE CHETILLA EN CAJAMARCA,Estado ProcesalPRESENTADO,ProponenteCongreso,"Gonza Castillo, Américo, Cruz Mamani, Flavio, Taipe Coronado, María Elizabeth ver más..."
Proyecto de Ley 11469/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE DEROGA LA LEY N° 32326, LEY QUE MODIFICA EL DECRETO LEGISLATIVO 1373, DECRETO LEGISLATIVO SOBRE EXTINCIÓN DE DOMINIO, A FIN DE PERFECCIONAR EL PROCESO DE EXTINCIÓN DE DOMINIO, Y RESTITUYE LA PLENA VIGENCIA DEL DECRETO LEGISLTIVO N° 1373",Estado ProcesalPRESENTADO,ProponenteCongreso,"Flores Ramírez, Alex Randu, Quito Sarmiento, Bernardo Jaime, Pariona Sinche, Alfredo ver más..."
Proyecto de Ley 11468/2024-CR,Fecha de Presentación05/06/2025,LEY QUE FORTALECE LA SEGURIDAD HÍDRICA EN LA CUENCA DEL RÍO SISA UBICADO EN EL DEPARTAMENTO DE SAN MARTÍN MEDIANTE EL AFIANZAMIENTO HÍDRICO Y LA MEJORA DE LA INFRAESTRUCTURA DE RIEGO,Estado ProcesalPRESENTADO,ProponenteCongreso,"Paredes Fonseca, Karol Ivett, Williams Zapata, José Daniel, Amuruz Dulanto, Yessica Rosselli ver más..."
Proyecto de Ley 11467/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE ESTABLECE MECANISMOS ALTERNATIVOS Y COMPLEMENTARIOS PARA LA AMORTIZACIÓN DE DEUDAS DE LOS GOBIERNOS REGIONALES Y LOCALES CON EL SEGURO SOCIAL DE SALUD – ESSALUD, MEDIANTE INVERSIÓN EN INFRAESTRUCTURA Y/O EQUIPAMIENTO EN ESTABLECIMIENTOS DE SALUD",Estado ProcesalPRESENTADO,ProponenteCongreso,"Paredes Fonseca, Karol Ivett, Williams Zapata, José Daniel, Amuruz Dulanto, Yessica Rosselli ver más..."
Proyecto de Ley 11466/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE CREA EL INSTITUTO NACIONAL DE INVESTIGACIÓN PARA LA PROTECCIÓN, PROMOCIÓN, CONSERVACIÓN Y PARA EL CONSUMO DEL MAÍZ CABANITA Y LOS OTROS TIPOS DE MAÍZ DE ORIGEN PERUANO",Estado ProcesalPRESENTADO,ProponenteCongreso,"Medina Minaya, Esdras Ricardo, Muñante Barrios, Alejandro, Ciccia Vásquez, Miguel Ángel ver más..."
Proyecto de Ley 11465/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE MODIFICA LA LEY 32185, LEY DE PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2025, A EFECTOS DE FORTALECER LOS ORGANISMOS DEL SISTEMA ELECTORAL, EN EL MARCO DEL PROCESO DE LAS ELECCIONES GENERALES 2026",Estado ProcesalPRESENTADO,ProponenteCongreso,"Pariona Sinche, Alfredo, Quito Sarmiento, Bernardo Jaime, Robles Araujo, Silvana Emperatriz ver más..."
Proyecto de Ley 11464/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE MARANKIARI EN LA PROVINCIA DE SATIPO, DEPARTAMENTO DE JUNÍN",Estado ProcesalPRESENTADO,ProponenteCongreso,"Cerrón Rojas, Waldemar José, Cruz Mamani, Flavio, Taipe Coronado, María Elizabeth ver más..."
Proyecto de Ley 11463/2024-CR,Fecha de Presentación05/06/2025,LEY QUE ACTUALIZA LA ESCALA DEL INCENTIVO ÚNICO CAFAE DEL DECRETO LEGISLATIVO N° 276 PARA EL TRABAJADOR ADMINISTRATIVO DEL SECTOR PÚBLICO A NIVEL NACIONAL,Estado ProcesalPRESENTADO,ProponenteCongreso,"Padilla Romero, Javier Rommel, Montoya Manrique, Jorge Carlos, Cueto Aservi, José Ernesto ver más..."
Proyecto de Ley 11462/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE DECLARA DE INTERES NACIONAL LA INCLUSIÓN DEL VALLE DE MANCHAY EN EL CIRCUITO TURÍSTICO DEL DISTRITO DE PACHACÁMAC, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA",Estado ProcesalPRESENTADO,ProponenteCongreso,"Juárez Gallegos, Carmen Patricia, Alegría García, Arturo, Rospigliosi Capurro, Fernando Miguel ver más..."
Proyecto de Ley 11461/2024-CR,Fecha de Presentación05/06/2025,"LEY QUE DEROGA LA LEY N° 30900, LEY QUE CREA LA AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO (ATU)",Estado ProcesalPRESENTADO,ProponenteCongreso,"Cordero Jon Tay, Luis Gustavo, Azurín Loayza, Alfredo, Morante Figari, Jorge Alberto ver más..."
